naam;bron_url;eigen_domein;imio_site;pv_url;heeft_pdfs;heeft_jaarpaginas;pdf_count;aanbeveling;opmerkingen
Lierneux;https://www.deliberations.be/lierneux;https://www.lierneux.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Limbourg;https://www.deliberations.be/limbourg;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Lincent;https://www.deliberations.be/lincent;https://www.lincent.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Liège;https://deliberations.be/liege;https://www.liege.be;True;;False;False;0;deliberations.be (ongewijzigd);
Lobbes;https://www.deliberations.be/lobbes;https://www.lobbes.be;True;;False;False;0;deliberations.be (ongewijzigd);
Léglise;https://deliberations.be/leglise;https://www.leglise.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Malmedy;https://www.deliberations.be/malmedy;https://www.malmedy.be;True;;False;False;0;deliberations.be (ongewijzigd);
Manage;https://www.deliberations.be/manage;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Manhay;https://www.deliberations.be/manhay;https://www.manhay.be;False;https://www.manhay.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Marche-en-Famenne;https://www.deliberations.be/marche-en-famenne;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Marchin;https://www.deliberations.be/marchin;https://www.marchin.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Martelange;https://www.deliberations.be/martelange;https://www.martelange.be;True;;False;False;0;deliberations.be (ongewijzigd);
Meix-devant-Virton;https://www.deliberations.be/meix-devant-virton;https://www.meix-devant-virton.be;True;https://www.meix-devant-virton.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;120;EIGEN SITE: https://www.meix-devant-virton.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;120 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Merbes-le-Château;https://deliberations.be/merbes-le-chateau;https://www.merbes-le-chateau.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Mettet;https://www.deliberations.be/mettet;https://www.mettet.be;True;https://www.mettet.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;5;EIGEN SITE: https://www.mettet.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;5 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Momignies;https://www.deliberations.be/momignies;https://www.momignies.be;True;;False;False;0;deliberations.be (ongewijzigd);
Mons;https://www.deliberations.be/mons;https://www.mons.be;True;;False;False;0;deliberations.be (ongewijzigd);
Mont-Saint-Guibert;https://www.deliberations.be/mont-saint-guibert;https://www.mont-saint-guibert.be;True;;False;False;0;deliberations.be (ongewijzigd);
Montigny-le-Tilleul;https://www.deliberations.be/montigny-le-tilleul;https://www.montigny-le-tilleul.be;True;https://www.montigny-le-tilleul.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;False;False;0;deliberations.be (ongewijzigd);
Morlanwelz;https://www.deliberations.be/morlanwelz;https://www.morlanwelz.be;True;;False;False;0;deliberations.be (ongewijzigd);
Mouscron;https://www.deliberations.be/mouscron;https://www.mouscron.be;True;;False;False;0;deliberations.be (ongewijzigd);
Namur;https://www.deliberations.be/namur;https://www.namur.be;True;https://www.namur.be/ma-ville/vie-politique/conseil-communal/proces-verbaux;False;False;0;deliberations.be (ongewijzigd);
Nandrin;https://www.deliberations.be/nandrin;https://www.nandrin.be;True;;False;False;0;deliberations.be (ongewijzigd);
Nassogne;https://www.deliberations.be/nassogne;https://www.nassogne.be;True;;False;False;0;deliberations.be (ongewijzigd);
Nivelles;https://www.deliberations.be/nivelles;https://www.nivelles.be;True;;False;False;0;deliberations.be (ongewijzigd);
Ohey;https://www.deliberations.be/ohey;https://www.ohey.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Olne;https://www.deliberations.be/olne;https://www.olne.be;False;https://www.olne.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Onhaye;https://www.deliberations.be/onhaye;https://www.onhaye.be;True;;False;False;0;deliberations.be (ongewijzigd);
Oreye;https://www.deliberations.be/oreye;https://www.oreye.be;True;;False;False;0;deliberations.be (ongewijzigd);
Ottignies-Louvain-la-Neuve;https://www.deliberations.be/ottignies-louvain-la-neuve;https://www.ottignies-louvain-la-neuve.be;True;;False;False;0;deliberations.be (ongewijzigd);
Oupeye;https://www.deliberations.be/oupeye;https://www.oupeye.be;True;;False;False;0;deliberations.be (ongewijzigd);
Paliseul;https://www.deliberations.be/paliseul;https://www.paliseul.be;True;https://www.paliseul.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;True;2;EIGEN SITE: https://www.paliseul.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;Jaarpagina's gevonden: ['2026', '2025', '2024'] (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux) - PDFs op subpaginas mogelijk | 2 PDF(s) gevonden op jaarpagina https://www.paliseul.be/ma-commune/vie-politique/conseil-communal/proces-verbaux/2026
Pepinster;https://www.deliberations.be/pepinster;https://www.pepinster.be;True;;False;False;0;deliberations.be (ongewijzigd);
Philippeville;https://www.deliberations.be/philippeville;https://www.philippeville.be;True;https://www.philippeville.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;True;11;EIGEN SITE: https://www.philippeville.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;Jaarpagina's gevonden: ['2026', '2025', '2024'] (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux) - PDFs op subpaginas mogelijk | 11 PDF(s) gevonden op jaarpagina https://www.philippeville.be/ma-commune/vie-politique/conseil-communal/proces-verbaux/2022
Pont-à-Celles;https://deliberations.be/pont-a-celles;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
